20
13.55 -12.07 -18.81 -6.13 10.66 -16.64 10.54 3.97 6.41 -8.01 -4.28 -3.37 7.96 -3.06 1.85 -5.28 1.05 3.87 1.77 -1.79 A
0.28 22.76 8.26 -15.68 3.43 -13.39 -10.58 -14.71 3.96 -9.65 4.74 -9.55 0.90 7.25 4.69 -2.44 1.96 -4.32 2.48 1.46 I
-3.51 -6.01 -0.47 -0.82 -0.38 -2.91 -1.35 0.48 1.88 3.00 4.11 7.21 3.36 7.48 2.37 -5.26 2.58 1.99 -1.09 -4.20 #
9.76 -23.02 -12.69 -12.28 12.26 -15.74 10.01 8.30 1.95 -7.41 -0.68 -2.56 5.02 -1.56 -0.16 -1.87 -6.97 -0.08 0.51 2.00 A
-2.85 -3.63 -0.89 -1.04 -3.26 4.13 4.37 5.18 2.79 -1.02 8.60 9.78 2.49 -2.63 -1.52 -1.26 2.27 -0.17 2.05 1.54 #
16.09 -21.38 -20.55 -5.42 14.01 -12.85 9.84 4.92 -2.23 -9.75 1.40 -0.96 4.42 -10.15 2.84 0.89 2.85 2.31 -1.85 1.72 A
1.33 17.37 4.65 -20.54 3.55 -11.73 -3.17 -9.16 6.99 -9.53 5.96 -2.22 -5.32 -1.34 -4.26 -5.16 6.24 2.05 0.67 0.77 I
-8.57 -9.35 -1.75 -2.78 8.38 2.07 3.96 0.38 4.77 -4.05 4.82 -2.69 -1.79 -3.06 2.90 3.17 1.95 1.26 2.56 -0.66 #
16.83 -22.51 -18.95 -5.57 10.60 -11.42 6.90 6.01 0.28 -4.03 -0.83 -1.10 6.22 -7.70 3.31 -1.41 0.45 -2.74 -3.87 1.12 A
-7.83 -7.83 -2.59 -1.24 7.77 6.20 6.89 7.42 -0.61 -1.07 3.77 -4.30 0.89 -3.59 -1.22 0.71 4.33 5.69 1.24 -0.31 #
15.48 -21.39 -22.04 -8.78 18.02 -11.70 12.13 -3.70 5.62 -13.34 0.17 4.14 6.40 -4.06 1.13 0.46 1.21 4.56 0.64 2.65 A
23.01 1.37 9.04 1.11 1.04 -15.86 -10.78 2.89 -3.63 -2.72 0.65 -2.72 -2.53 -4.54 -2.86 -2.70 5.75 5.32 -0.32 -1.87 N
27.99 -1.75 -22.59 -5.68 11.59 -14.87 4.19 -2.07 15.21 -1.59 -4.83 -2.34 -8.99 4.16 -0.01 -3.17 -4.04 -0.29 -2.20 -0.83 O
21.73 4.07 -3.47 -3.63 21.99 -3.78 -16.15 -6.21 -9.46 -5.58 -0.67 0.19 -3.76 1.26 1.08 -5.84 -7.24 2.58 -1.07 1.46 M
