20
# Example data from speech signal
21.47 -19.90 -20.68 -6.73 13.67 -11.95 13.83 12.02 7.62 -6.15 -4.38 -2.91 4.80 -7.39 -3.54 -0.87 -5.02 -1.41 -2.33 2.12 A
0.05 28.38 9.52 -11.30 3.11 -11.88 -2.90 -11.04 2.32 -13.80 1.71 -0.40 -1.36 3.91 3.21 -0.98 -0.14 -4.70 0.30 0.27 I
-4.71 -4.61 -0.64 1.78 -1.48 5.98 12.55 -0.50 4.74 4.68 3.27 -0.36 9.24 3.39 -0.40 -1.59 0.94 2.17 -0.10 -0.45 #
10.78 -22.31 -11.32 -10.92 10.96 -14.64 7.02 13.83 6.72 -7.99 -7.45 -3.20 8.45 2.76 -2.85 1.22 -6.60 -4.96 -1.42 0.57 A
-10.38 -8.52 -2.51 -5.87 -5.49 0.70 4.49 6.86 6.96 1.02 9.19 6.46 5.28 -3.25 -1.29 2.79 3.43 2.54 1.63 -2.22 #
20.87 -18.74 -17.87 -5.41 11.32 -10.92 7.69 7.53 6.33 -2.92 0.06 -5.13 5.39 -8.86 0.32 -3.88 -5.26 -2.28 -0.49 1.57 A
1.20 22.50 10.33 -21.07 -0.75 -17.71 -4.26 -4.28 4.59 -12.98 5.88 4.29 4.87 4.79 -6.68 -11.51 0.09 3.90 0.86 -1.37 I
-4.79 -5.36 -0.99 -4.10 -2.74 1.18 6.56 7.36 1.24 6.81 5.12 1.60 10.22 7.52 2.80 -4.77 -1.52 5.97 2.69 2.46 #
25.99 -19.22 -21.17 -10.68 12.74 -12.92 6.75 7.33 6.15 -7.13 -2.20 -4.84 9.25 -2.07 1.15 1.37 -1.25 2.67 -1.28 0.73 A
-4.41 -5.62 -1.73 -1.53 -1.24 -2.52 6.46 11.45 0.94 0.00 2.81 6.48 10.47 3.56 1.79 4.29 4.95 5.23 1.29 -2.47 #
20.44 -12.10 -17.75 -7.93 12.39 -15.87 10.88 5.72 6.37 -18.11 -8.16 -1.50 9.57 -2.19 -5.54 -0.46 -1.62 5.83 1.00 -0.59 A
23.92 1.21 17.02 -10.77 6.98 -17.62 -6.98 7.65 -4.53 -2.60 -11.04 -6.59 0.80 -0.85 -4.09 -2.03 -3.04 1.45 0.37 1.78 N
24.52 -3.99 -15.45 -12.78 10.28 -11.18 5.66 -2.86 9.78 -2.92 0.64 -9.00 -3.49 1.88 -5.13 1.31 -4.30 -0.17 -0.98 0.38 O
23.31 8.06 0.09 -5.56 16.85 -4.94 1.12 -1.58 -13.98 -8.30 -2.26 -5.28 -0.77 -6.13 3.46 -1.93 1.52 -3.96 -2.54 0.41 M
30.58 7.94 -18.47 -11.21 2.60 -4.88 5.46 -7.28 3.10 -7.29 10.12 -4.09 5.57 -7.09 -2.56 -0.57 -1.94 -1.07 -2.76 -2.14 U
-29.04 6.82 6.44 13.39 -4.97 -14.24 2.31 -10.45 4.56 -2.14 7.04 4.33 -4.96 1.36 -0.60 4.98 5.39 2.79 3.01 -1.95 S
-6.69 -5.58 -3.79 0.85 6.74 6.86 4.31 0.19 -1.81 2.38 4.19 -1.32 1.76 6.27 3.18 0.43 0.10 3.42 -1.68 -2.01 #
26.21 -25.73 -11.28 -9.03 9.01 -7.68 1.24 9.97 0.33 -7.38 0.65 -2.65 7.12 -8.06 1.23 -0.13 2.37 -0.65 2.01 -0.84 A
-25.88 10.76 -8.58 1.01 -5.84 -2.50 -1.59 1.84 -0.06 9.22 9.77 2.54 1.18 0.83 4.11 4.93 2.80 4.59 -0.15 1.79 S
7.22 18.60 5.05 -19.12 1.55 -13.36 -10.97 -2.89 -5.07 -5.28 5.52 -7.03 4.43 -0.20 3.51 -4.31 2.44 -0.66 1.36 0.25 I
23.12 -18.41 -13.64 -5.44 -0.19 -7.38 11.65 0.25 -1.71 -3.83 5.83 -4.60 3.63 -7.50 2.64 1.33 -3.63 -1.04 -0.43 -2.55 A
-2.89 -8.64 -3.63 0.47 5.65 7.84 5.39 -1.43 -2.72 -0.28 5.52 1.45 3.35 2.54 -0.90 -1.47 0.21 4.00 1.17 -1.07 #
24.64 -20.92 -10.06 -3.27 3.15 -11.11 3.14 12.58 -1.91 -2.38 5.17 -5.18 6.15 -4.16 -0.86 0.71 -1.10 -1.15 -0.46 -2.13 A
-32.34 9.98 -7.95 17.29 7.48 11.12 6.52 -8.43 3.48 -3.44 7.65 -4.77 9.56 3.13 9.42 -2.37 -4.68 -1.56 -1.49 -4.18 S
-4.32 -8.50 0.62 -4.60 0.12 5.56 10.44 4.01 -1.67 2.19 1.93 -5.29 0.19 2.51 6.98 3.71 1.79 1.38 1.63 2.01 #
8.03 14.96 10.82 -24.91 -2.97 -13.26 -5.26 -7.59 11.51 -1.11 11.95 -1.25 -1.98 -8.78 -1.65 -4.66 4.45 2.92 1.36 0.07 E
14.85 9.14 15.77 -1.88 4.31 4.45 -3.09 -1.74 1.11 1.13 -5.90 -11.75 2.63 -6.68 0.11 -5.28 0.13 0.12 2.04 3.23 D
10.51 7.15 5.43 -30.88 1.35 -10.30 0.29 -3.31 13.37 -6.66 5.90 -1.30 -1.38 -7.76 2.54 -5.06 0.75 -4.32 -0.21 2.73 E
18.62 18.30 4.57 -4.02 -11.81 -13.18 8.58 -19.92 2.39 3.37 -3.64 -4.59 5.43 -4.97 -1.23 0.65 -2.72 -3.47 0.45 0.16 L
13.78 3.35 3.19 -24.89 -5.06 -11.05 2.72 -0.38 10.59 1.84 3.27 -1.40 -2.67 -8.15 1.11 -5.13 1.92 -0.64 -0.16 0.74 E
-5.35 3.41 2.68 -29.13 -1.48 -9.79 -2.48 -0.31 8.59 -3.07 6.46 -4.91 -2.03 -8.83 -0.56 -7.56 2.45 -0.10 0.22 1.95 N
-7.39 -4.37 -1.84 0.73 0.51 5.33 5.06 1.10 0.48 -0.03 1.75 -3.88 3.44 -2.23 -0.42 -2.08 1.13 1.95 -1.42 -0.07 #
